TERITORIJA;KADASTRA_NR;IPASUMA_TIPS;DARIJUMA_SUMMA;KADASTRALA_VERTIBA;PLATIBA;DOM_SK;DOM_SAUC
Olaines nov.;80800120261;Zemes nekustams īpašums;2500;2861;0.067;1;1
Daugavpils;05000311942;Zemes un ēkas nekustams īpašums;7000;3222;0.0493;1;1
Mārupes nov.;80760120657;Zemes nekustams īpašums;7000;56638;2;1;12
Rīga;01000920760;Zemes nekustams īpašums;70000;18581;0.2449;1;1
Rīga;01000710012;Zemes nekustams īpašums;147;9442;0.024;2693;439159
Rīga;01000712240;Zemes nekustams īpašums;236;13728;0.0358;2693;439159
Rīga;01000110186;Zemes un ēkas nekustams īpašums;108500;2577455;0.1357;31;1000
Rīga;01000240357;Zemes nekustams īpašums;500;512437;0.4232;1;100
Madonas nov.;70010010318;Zemes nekustams īpašums;176.44;3371;0.1077;1;1
Engures nov.;90500080189;Zemes un ēkas nekustams īpašums;70000;37573;0.13;1;1
Olaines nov.;80800230583;Zemes un ēkas nekustams īpašums;1500;5132;0.054;1;1
Rīga;01001253751;Zemes un ēkas nekustams īpašums;8000;17884;0.0573;1;1
Babītes nov.;80480010523;Zemes nekustams īpašums;200;68;0.0483;1;63
Ventspils nov.;98700040109;Zemes un ēkas nekustams īpašums;6500;8684;0.1122;1;1
Jūrmala;13000084201;Zemes un ēkas nekustams īpašums;250000;275521;0.0855;88;855
Carnikavas nov.;80520081761;Zemes nekustams īpašums;18000;7686;0.1201;1;1
Daugavpils;05000140009;Zemes nekustams īpašums;5478;5478;0.2507;1;1
Salaspils nov.;80310130153;Zemes nekustams īpašums;89.64;2694;0.0631;1;1
Rīga;01001180080;Zemes nekustams īpašums;18000;34271;0.1147;1;2
Olaines nov.;80800230002;Zemes nekustams īpašums;7000;1801;0.0632;1;1
Carnikavas nov.;80520050902;Zemes nekustams īpašums;5000;7599;0.0763;1;2
Rīga;01000712577;Zemes nekustams īpašums;2426.48;233437;0.5619;790;76001
Garkalnes nov.;80600021321;Zemes nekustams īpašums;8500;11642;0.1597;1;2
Siguldas nov.;80420010044;Zemes nekustams īpašums;8000;1784;0.0626;1;2
Ogres nov.;74880060431;Zemes nekustams īpašums;3500;518;0.0609;1;1
Jelgava;09000290314;Zemes un ēkas nekustams īpašums;11000;11400;0.0677;1;1
Salaspils nov.;80310160198;Zemes un ēkas nekustams īpašums;5000;4592;0.0705;1;1
Rīga;01000600125;Zemes un ēkas nekustams īpašums;125000;3376900;1.1439;83;11439
Rīga;01000912254;Zemes nekustams īpašums;217.08;14939;0.1151;483;33239
Saulkrastu nov.;80130030488;Zemes nekustams īpašums;44000;9992;0.117;1;1
Rīga;01000260114;Zemes un ēkas nekustams īpašums;4700;3081946;0.3929;31;8000
Engures nov.;90500090459;Zemes nekustams īpašums;15000;8874;0.1782;1;1
Garkalnes nov.;80600010340;Zemes nekustams īpašums;3000;11076;0.0438;1;1
Rīga;01000782224;Zemes un ēkas nekustams īpašums;4358.62;10253;0.0224;159;782
Jelgavas nov.;54820010124;Zemes nekustams īpašums;3500;1967;0.069;1;1
Stopiņu nov.;80960021649;Zemes un ēkas nekustams īpašums;30250;29926;0.0901;1;2
Rīga;01000910438;Zemes nekustams īpašums;393;48374;0.3775;2;123
Jelgavas nov.;54480060509;Zemes nekustams īpašums;5944;5644;0.5441;1;1
Ādažu nov.;80440040037;Zemes un ēkas nekustams īpašums;40000;13515;0.2575;48;103
Jūrmala;13000174117;Zemes nekustams īpašums;16666.66;73100;0.9831;1;3
Jūrmala;13000083509;Zemes un ēkas nekustams īpašums;250100;549882;0.1975;108;1975
Babītes nov.;80480010523;Zemes nekustams īpašums;125;68;0.0483;1;126
Babītes nov.;80480070966;Zemes nekustams īpašums;25000;11761;0.1502;1;1
Jūrmala;13000074202;Zemes un ēkas nekustams īpašums;50000;56625;0.0995;1;3
Rīga;01000930165;Zemes nekustams īpašums;50000;23704;0.1417;1;1
Limbažu nov.;66760131864;Zemes un ēkas nekustams īpašums;15200;17319;0.0542;1;2
Rīga;01001110036;Zemes nekustams īpašums;500;28913;0.1814;27;907
Ķekavas nov.;80700180181;Zemes nekustams īpašums;6000;1881;0.066;1;1
Saulkrastu nov.;80330020383;Zemes un ēkas nekustams īpašums;20500;20276;0.0609;1;1
Daugavpils nov.;44840070091;Zemes un ēkas nekustams īpašums;19000;7803;26.85;1;2
Rīga;01001132114;Zemes un ēkas nekustams īpašums;14900;1052950;0.4866;19;4881
Limbažu nov.;66760131580;Zemes un ēkas nekustams īpašums;10000;9260;0.065;1;1
Grobiņas nov.;64760021417;Zemes nekustams īpašums;1000;1764;0.0619;1;1
Madonas nov.;70500050418;Zemes un ēkas nekustams īpašums;3950;26893;0.2053;637;7663
Ventspils ;27000211008;Zemes un ēkas nekustams īpašums;3000;4466;0.1032;0;0
Ķekavas nov.;80070032702;Zemes nekustams īpašums;6000;3858;0.0678;1;1
Salaspils nov.;80310130026;Zemes nekustams īpašums;1;2682;0.0628;1;1
Rīga;01001132609;Zemes nekustams īpašums;7888;7888;0.0792;1;1
Rīga;01000600125;Zemes un ēkas nekustams īpašums;50000;3376900;1.1439;34;11439
Daugavpils;05000133702;Zemes un ēkas nekustams īpašums;11000;10807;0.0597;1;1
Ķekavas nov.;80700181574;Zemes un ēkas nekustams īpašums;25000;10701;0.1282;1;1
Ķekavas nov.;80700082079;Zemes nekustams īpašums;2500;3665;0.1572;1;1
Daugavpils;05000180108;Zemes un ēkas nekustams īpašums;15000;6719;0.0592;31;50
Madonas nov.;70860170013;Zemes un ēkas nekustams īpašums;7000;10469;0.35;1;1
Garkalnes nov.;80600111068;Zemes nekustams īpašums;5000;10604;0.2094;1;2
Rīga;01001110288;Zemes un ēkas nekustams īpašums;50;32303;0.2002;59;2002
Ozolnieku nov.;54440080062;Zemes un ēkas nekustams īpašums;0;20322;0.264;1;2
Kandavas nov.;90920030263;Zemes nekustams īpašums;1640;1640;1.66;1;1
Rīga;01000820313;Zemes nekustams īpašums;64000;55683;0.08;1;2
Rīga;01001112037;Zemes nekustams īpašums;293;21285;0.0984;5492;397707
Jūrmala;13000150086;Zemes nekustams īpašums;25000;23059;0.2043;1;1
Iecavas nov.;40640070135;Zemes nekustams īpašums;1000;718;0.5;1;1
Olaines nov.;80800200576;Zemes nekustams īpašums;355.72;1617;0.0585;1;1
Rīga;01000472016;Zemes nekustams īpašums;18000;14781;0.053;4731;388756
Ķekavas nov.;80700180078;Zemes nekustams īpašums;2900;3363;0.118;1;1
Ķekavas nov.;80700190245;Zemes un ēkas nekustams īpašums;22000;6374;0.076;1;1
Rīga;01000110116;Zemes un ēkas nekustams īpašums;440000;3103593;0.1478;2313;46789
Jūrmala;13000074202;Zemes un ēkas nekustams īpašums;38330;56625;0.0995;1;6
Carnikavas nov.;80520080203;Zemes un ēkas nekustams īpašums;90000;35227;0.12;1;1
Rīga;01001230116;Zemes nekustams īpašums;1428;487419;3.481;5;13924
Jēkabpils;56010013262;Zemes nekustams īpašums;798;162;0.1157;1;1
Rīga;01000990363;Zemes un ēkas nekustams īpašums;32700;50241;0.1685;1;10
Rīga;01001202481;Zemes nekustams īpašums;179650;72455;0.1427;1;1
Jūrmala;13000122705;Zemes un ēkas nekustams īpašums;439230;789932;0.3382;605;11123
Rīga;01000640195;Zemes nekustams īpašums;1500;167051;0.2965;1222;54339
Olaines nov.;80090041813;Zemes un ēkas nekustams īpašums;307300;558714;0.5616;1;1
Stopiņu nov.;80960020806;Zemes un ēkas nekustams īpašums;180000;85590;0.1;1;1
Ķekavas nov.;80700082147;Zemes nekustams īpašums;5000;12952;0.2919;1;2
Rēzekne;21000050501;Zemes un ēkas nekustams īpašums;1422.87;23074;0.2232;0;0
Gulbenes nov.;50010080099;Zemes un ēkas nekustams īpašums;7000;10955;0.3;1;1
Rīga;01000990058;Zemes nekustams īpašums;3300;865611;2.7748;109;27748
Valkas nov.;94880050337;Zemes un ēkas nekustams īpašums;3000;2680;0.0789;1;1
Olaines nov.;80800150302;Zemes nekustams īpašums;2500;1667;0.0585;1;1
Rīga;01000160029;Zemes un ēkas nekustams īpašums;43000;177918;0.108;473;6359
Rīga;01000710800;Zemes nekustams īpašums;125000;80833;0.0776;1;1
Saulkrastu nov.;80330031560;Zemes nekustams īpašums;1363.11;5966;0.121;1;1
Ķekavas nov.;80700020609;Zemes nekustams īpašums;11000;12847;0.1201;1;1
Ventspils ;27000280109;Zemes un ēkas nekustams īpašums;800;7577;0.1345;1;2
Ķekavas nov.;80700110216;Zemes nekustams īpašums;254600;16989;3;1;1
Rīga;01000370040;Zemes un ēkas nekustams īpašums;15000;1143364;0.1326;1;40
Siguldas nov.;80420010223;Zemes nekustams īpašums;8800;3741;0.059;1;1
Babītes nov.;80480010153;Zemes nekustams īpašums;25000;13610;0.1766;1;1
Engures nov.;90660010609;Zemes nekustams īpašums;18750;13822;0.1104;1;2
Jūrmala;13000071301;Zemes un ēkas nekustams īpašums;306000;1688515;0.3895;1421;73932
Jelgava;09000160307;Zemes nekustams īpašums;3735;3735;0.0636;1;1
Rīga;01000950050;Zemes nekustams īpašums;726;76292;0.4897;23319;2448500
Ādažu nov.;80440080446;Zemes nekustams īpašums;28000;13715;0.5448;1;1
Ādažu nov.;80440080307;Zemes nekustams īpašums;17000;14840;0.5175;1;1
Jūrmala;13000174145;Zemes nekustams īpašums;35000;11683;0.1037;1;1
Jelgava;09000190376;Zemes un ēkas nekustams īpašums;7000;5270;0.0839;1;1
Rīga;01001212895;Zemes nekustams īpašums;500;189446;0.5326;10;83547
Priekules nov.;64820030014;Zemes un ēkas nekustams īpašums;11000;3991;3.99;1;1
