TERITORIJA;KADASTRA_NR;IPASUMA_TIPS;DARIJUMA_SUMMA;KADASTRALA_VERTIBA;PLATIBA;DOM_SK;DOM_SAUC
Grobiņas nov.;64760021260;Zemes nekustams īpašums;600;1975;0.0622;1;1
Rīga;01001254443;Zemes nekustams īpašums;4000;8074;0.0591;1;2
Rīga;01001254315;Zemes un ēkas nekustams īpašums;12000;11352;0.0655;1;1
Liepāja;17000420702;Zemes nekustams īpašums;12000;9672;0.0763;1;1
Saulkrastu nov.;80330021156;Zemes nekustams īpašums;20000;15162;0.101;1;1
Ludzas nov.;68580050035;Zemes nekustams īpašums;6500;1968;7.5;1;1
Liepāja;17000140208;Zemes nekustams īpašums;4000;3651;0.0855;1;1
Rīga;01000910436;Zemes nekustams īpašums;700;160492;1.8849;1;205
Jūrmala;13000046509;Zemes un ēkas nekustams īpašums;5000;803837;0.3376;1;2743
Daugavpils;05000012730;Zemes nekustams īpašums;500;1684;0.0148;1;4
Auces nov.;46900040231;Zemes un ēkas nekustams īpašums;15300;9629;0.19;1;1
Bauskas nov.;40520070132;Zemes nekustams īpašums;100;385;0.2026;1;6
Rīga;01000672041;Zemes nekustams īpašums;50;72851;0.3682;23;1603
Rīga;01001253655;Zemes un ēkas nekustams īpašums;5000;13749;0.0561;1;2
Salaspils nov.;80310131118;Zemes nekustams īpašums;2500;2045;0.1314;1;1
Limbažu nov.;66760030167;Zemes un ēkas nekustams īpašums;4000;5386;0.153;1;2
Daugavpils;05000080954;Zemes nekustams īpašums;710;706;0.252;1;1
Rīga;01000712233;Zemes nekustams īpašums;3000;82469;0.184;1389;224311
Rīga;01001211561;Zemes nekustams īpašums;6000;14158;0.1202;86;1439
Rīga;01000600125;Zemes un ēkas nekustams īpašums;50000;3376900;1.1439;10;3813
Liepāja;17000200031;Zemes nekustams īpašums;25000;29434;0.2245;1;1
Daugavpils nov.;44680080302;Zemes un ēkas nekustams īpašums;2555;2555;0.055;1;1
Siguldas nov.;80940030167;Zemes nekustams īpašums;18000;17994;0.456;1;1
Ķekavas nov.;80700071433;Zemes nekustams īpašums;48335;12258;0.1381;1;1
Ķekavas nov.;80700071437;Zemes nekustams īpašums;48055;11875;0.1373;1;1
Mārupes nov.;80760110591;Zemes nekustams īpašums;819.57;42491;0.4445;713;39946
Mārupes nov.;80760120657;Zemes nekustams īpašums;5000;56638;2;1;12
Inčukalna nov.;80640070675;Zemes un ēkas nekustams īpašums;6500;3532;0.0737;1;1
Rīga;01000612055;Zemes un ēkas nekustams īpašums;60000;4118599;0.5661;782;101855
Rīga;01000820969;Zemes nekustams īpašums;9750;3309;0.0685;1;1
Rīga;01000160177;Zemes un ēkas nekustams īpašums;300;11148;0.0407;505;30889
Rīga;01000370057;Zemes un ēkas nekustams īpašums;2863.78;254069;0.1094;31;1606
Limbažu nov.;66760131803;Zemes un ēkas nekustams īpašums;6000;5328;0.06;1;1
Ķekavas nov.;80700020498;Zemes un ēkas nekustams īpašums;146000;57772;0.052;1;1
Vecumnieku nov.;40800020502;Zemes nekustams īpašums;2870;1200;0.2424;1;1
Liepāja;17000320151;Zemes nekustams īpašums;2500;7831;0.0917;1;32
Rēzekne;21000010406;Zemes nekustams īpašums;79.49;44478;3.1703;71;40884
Carnikavas nov.;80520081736;Zemes nekustams īpašums;16800;7686;0.1201;1;1
Carnikavas nov.;80520020693;Zemes nekustams īpašums;11000;20031;0.097;1;2
Rīga;01000240294;Zemes nekustams īpašums;2094.22;707307;2.1965;41;23689
Rīga;01001254593;Zemes un ēkas nekustams īpašums;11000;8195;0.0519;1;1
Olaines nov.;80800170231;Zemes nekustams īpašums;1500;1704;0.0598;1;1
Rīga;01001122038;Zemes nekustams īpašums;306;25037;0.1122;277;22672
Rīga;01001250120;Zemes nekustams īpašums;500;728;0.1323;1;9
Rīga;01000822116;Zemes nekustams īpašums;100;72315;0.2364;5938;556137
Daugavpils;05000050522;Zemes nekustams īpašums;7560;6805;0.1643;1;1
Inčukalna nov.;80640061069;Zemes nekustams īpašums;6700;4666;0.1324;1;2
Jūrmala;13000011323;Zemes nekustams īpašums;8017;30601;0.5027;773;5027
Rīga;01000600125;Zemes un ēkas nekustams īpašums;85000;3544795;1.1439;40;11439
Rīga;01000990058;Zemes nekustams īpašums;5000;865611;2.7748;33;13874
Garkalnes nov.;80600021321;Zemes nekustams īpašums;8500;11642;0.1597;1;2
Stopiņu nov.;80960020250;Zemes nekustams īpašums;2000;5;0.045;1;1
Skrīveru nov.;32820100400;Zemes nekustams īpašums;83500;27528;27.41;1;1
Daugavpils;05000082808;Zemes un ēkas nekustams īpašums;875;2183;0.0674;1;3
Babītes nov.;80480070415;Zemes nekustams īpašums;6784;1372;0.98;128;4915
Limbažu nov.;66760132274;Zemes un ēkas nekustams īpašums;15000;12928;0.066;1;1
Salaspils nov.;80310050226;Zemes nekustams īpašums;6000;6115;0.086;1;1
Rīga;01000532016;Zemes nekustams īpašums;100;108090;0.2383;391;30739
Rīga;01000930179;Zemes nekustams īpašums;23000;23330;0.1409;1;1
Rīga;01000722178;Zemes nekustams īpašums;4000;29123;0.1163;202;13233
Rīga;01000120127;Zemes un ēkas nekustams īpašums;2500;2617372;0.975;1;10000
Rēzekne;21000110209;Zemes nekustams īpašums;639.71;23314;0.546;204309;6289010
Garkalnes nov.;80600070528;Zemes un ēkas nekustams īpašums;148000;124962;0.1543;1;2
Daugavpils nov.;44840070091;Zemes un ēkas nekustams īpašums;9000;7803;26.85;1;2
Rīga;01000910236;Zemes nekustams īpašums;700;65258;0.2414;947;90176
Saulkrastu nov.;80330011194;Zemes nekustams īpašums;24500;16564;0.2402;1;1
Durbes nov.;64940040010;Zemes nekustams īpašums;1425.05;2195;0.504;1;1
Daugavpils nov.;44640050102;Zemes un ēkas nekustams īpašums;0;3935;0.6202;1;1
Limbažu nov.;66760030167;Zemes un ēkas nekustams īpašums;4000;5386;0.153;1;2
Rīga;01000730584;Zemes nekustams īpašums;100;101596;0.4011;1647;92636
Rēzekne;21000150103;Zemes un ēkas nekustams īpašums;4500;9218;0.1663;21;50
Ķekavas nov.;80700082147;Zemes nekustams īpašums;5000;12952;0.2919;1;2
Limbažu nov.;66760132592;Zemes un ēkas nekustams īpašums;28892.25;9431;0.067;1;1
Daugavpils;05000140311;Zemes un ēkas nekustams īpašums;14000;9972;0.088;;
Limbažu nov.;66760131557;Zemes nekustams īpašums;192.09;3331;0.0704;1;1
Bauskas nov.;40500010197;Zemes nekustams īpašums;143.28;1043;0.061;1;1
Limbažu nov.;66760132312;Zemes un ēkas nekustams īpašums;35000;13206;0.071;1;1
Olaines nov.;80800211447;Zemes nekustams īpašums;175;2572;0.1157;1;2
Aknīstes nov.;56440050138;Zemes nekustams īpašums;20000;7398;20.4;1;1
Valmiera;96010080236;Zemes un ēkas nekustams īpašums;40000;47732;0.2336;1;2
Salaspils nov.;80110041432;Zemes un ēkas nekustams īpašums;62000;27927;0.12;1;2
Ādažu nov.;80440080081;Zemes un ēkas nekustams īpašums;285000;109905;0.214;1;1
Rīga;01000300060;Zemes un ēkas nekustams īpašums;120000;2374661;0.1451;1;36
Ķekavas nov.;80070034635;Zemes un ēkas nekustams īpašums;173000;68357;0.0791;1;1
Ropažu nov.;80840180813;Zemes nekustams īpašums;20000;3489;3.4577;1;2
Rīga;01000380028;Zemes un ēkas nekustams īpašums;39000;512581;0.0683;13;625
Rīga;01001270246;Zemes un ēkas nekustams īpašums;15000;243194;0.1196;1;4
Olaines nov.;80800120217;Zemes nekustams īpašums;2806;2746;0.0663;1;1
Rīga;01001256721;Zemes nekustams īpašums;11000;12793;0.0899;1;1
Olaines nov.;80090010403;Zemes nekustams īpašums;2500;37080;0.701;1;2
Jūrmala;13000081701;Zemes nekustams īpašums;7000;163360;0.3154;1683;70075
Jūrmala;13000122705;Zemes un ēkas nekustams īpašums;590000.01;789932;0.3382;2839;22246
Ludzas nov.;68580050110;Zemes nekustams īpašums;6500;1145;7.92;1;1
Rucavas nov.;64840030093;Zemes un ēkas nekustams īpašums;2000;2046;0.06;1;1
Rīga;01000530009;Zemes un ēkas nekustams īpašums;4500;101761;0.0666;547;10000
Rīga;01000810364;Zemes un ēkas nekustams īpašums;75000;40133;0.1138;1;1
Ventspils ;27000270070;Zemes nekustams īpašums;3340;3801;0.0668;1;1
Jūrmala;13000204111;Zemes un ēkas nekustams īpašums;250000;104209;0.2389;1;1
Daugavpils;05000292501;Zemes nekustams īpašums;20410;16868;0.1821;1;2
Daugavpils;05000292501;Zemes nekustams īpašums;20410;16868;0.1821;1;2
Carnikavas nov.;80520050902;Zemes nekustams īpašums;5000;7599;0.0763;1;2
Jūrmala;13000044304;Zemes un ēkas nekustams īpašums;125000;211922;0.1619;706;1619
Daugavpils;05000048220;Zemes nekustams īpašums;181.55;2000;0.0494;187;2060
Mārupes nov.;80760120056;Zemes un ēkas nekustams īpašums;103000;84290;0.56;1423;5000
Rīga;01001080083;Zemes un ēkas nekustams īpašums;50000;21818;0.3846;1;1
Rīga;01001030056;Zemes nekustams īpašums;10000;59686;0.214;1;1
Ventspils ;27000021604;Zemes un ēkas nekustams īpašums;20000;27724;0.0838;0;0
Rēzekne;21000061018;Zemes un ēkas nekustams īpašums;16000;11228;0.0864;1;1
Rīga;01001070482;Zemes nekustams īpašums;1400;1238;0.0071;1;1
Rīga;01000300158;Zemes un ēkas nekustams īpašums;155000;634518;0.1131;410;10893
Rīga;01000252030;Zemes nekustams īpašums;450;27255;0.0359;493;38720
Rīga;01000672074;Zemes nekustams īpašums;100;30883;0.1973;4989;291136
Babītes nov.;80480030161;Zemes nekustams īpašums;320000;19553;0.275;1;1
Mārupes nov.;80760010050;Zemes un ēkas nekustams īpašums;230;13357;0.1214;0;0
Rīga;01000660154;Zemes nekustams īpašums;800;128271;0.5217;5886;972785
Ķekavas nov.;80700070478;Zemes nekustams īpašums;2500;40;0.289;1;2
Rīga;01001255486;Zemes nekustams īpašums;7200;7158;0.0503;1;1
Salaspils nov.;80310131120;Zemes nekustams īpašums;2000;5055;0.1301;1;2
Salaspils nov.;80310131122;Zemes nekustams īpašums;2000;5106;0.1314;1;2
Babītes nov.;80480030741;Zemes un ēkas nekustams īpašums;260000;75306;0.0306;1;1
Durbes nov.;64880050068;Zemes un ēkas nekustams īpašums;5000;21794;0.1609;1;1
Salaspils nov.;80310131120;Zemes nekustams īpašums;2000;5055;0.1301;1;1
Daugavpils;05000102573;Zemes un ēkas nekustams īpašums;1000;1401;0.0042;1;1
Rīga;01000892172;Zemes nekustams īpašums;1254.72;288675;0.5176;65;13456
Jūrmala;13000121302;Zemes un ēkas nekustams īpašums;250000;1073969;0.24;685;10197
Rīga;01000990058;Zemes nekustams īpašums;200;865611;2.7748;25;6937
Ventspils ;27000160404;Zemes un ēkas nekustams īpašums;45000;25387;0.0623;1;1
Ādažu nov.;80440080639;Zemes nekustams īpašums;7000;16525;0.129;1;1
Olaines nov.;80800050106;Zemes nekustams īpašums;10000;10963;0.19;1;2
Olaines nov.;80800020516;Zemes nekustams īpašums;8150;8090;0.1264;1;1
Rīga;01000490076;Zemes nekustams īpašums;27000;128600;0.1928;3443;360625
Saulkrastu nov.;80130030493;Zemes un ēkas nekustams īpašums;43000;10504;0.123;1;1
Rīga;01001202659;Zemes nekustams īpašums;3500;46121;0.2001;1;2
Limbažu nov.;66760130325;Zemes nekustams īpašums;2500;3456;0.054;1;1
Rīga;01000560039;Zemes un ēkas nekustams īpašums;295000;100832;0.1112;1;1
Dobeles nov.;46010155536;Zemes un ēkas nekustams īpašums;60000;47398;0.1306;1;1
Rīga;01000760409;Zemes un ēkas nekustams īpašums;156000;84779;0.2811;1;1
Daugavpils;05000048220;Zemes nekustams īpašums;184.47;2000;0.0494;19;206
Rīga;01000780436;Zemes nekustams īpašums;10;21715;0.1084;335;75612
Rīga;01000190164;Zemes un ēkas nekustams īpašums;19306;39641;0.0199;13;24
Rīga;01000290112;Zemes un ēkas nekustams īpašums;251000;1026842;0.0688;71;1111
Jūrmala;13000142203;Zemes un ēkas nekustams īpašums;370000;96116;0.1772;1;1
Daugavpils;05000041622;Zemes un ēkas nekustams īpašums;1000;3901;0.0836;1;3
Rīga;01001212578;Zemes nekustams īpašums;160;19359;0.4477;217;46651
Rīga;01000950048;Zemes nekustams īpašums;725;106905;1.0908;259;54540
Līgatnes nov.;42620010003;Zemes un ēkas nekustams īpašums;140000;18678;4.6;1;1
Saulkrastu nov.;80130033060;Zemes un ēkas nekustams īpašums;150000;73594;0.12;1;1
Mārupes nov.;80760071581;Zemes nekustams īpašums;21000;106114;0.7581;1001;22901
Krāslavas nov.;60010030113;Zemes nekustams īpašums;1405;1405;0.1339;1;1
Rīga;01000702534;Zemes nekustams īpašums;50;5866;0.0124;2964;267347
Daugavpils nov.;44660050086;Zemes un ēkas nekustams īpašums;6460;6461;0.9936;1;1
Daugavpils nov.;44600040554;Zemes un ēkas nekustams īpašums;2000;5369;0.1014;1;1
Rīga;01001122030;Zemes nekustams īpašums;50;7234;0.0338;591;54109
Engures nov.;90660010609;Zemes nekustams īpašums;18750;13822;0.1104;1;2
Salaspils nov.;80310170081;Zemes nekustams īpašums;168.68;13328;0.3417;1;79
Mārupes nov.;80760120808;Zemes nekustams īpašums;34000;27312;0.3;1;1
Rojas nov.;88820090383;Zemes un ēkas nekustams īpašums;100000;24359;0.7783;1;1
Daugavpils nov.;44960020015;Zemes un ēkas nekustams īpašums;3275;4487;5.5;23;110
Rīga;01001072376;Zemes nekustams īpašums;73.31;11190;0.065;287;79532
Jelgava;09000040102;Zemes un ēkas nekustams īpašums;20000;30040;0.1172;1;2
Olaines nov.;80800110278;Zemes un ēkas nekustams īpašums;3000;846;0.0596;1;1
Rīga;01001201714;Zemes un ēkas nekustams īpašums;68000;43601;0.114;1;1
Rīga;01000720089;Zemes nekustams īpašums;360;48141;0.2038;2996;403723
Rēzekne;21000130113;Zemes un ēkas nekustams īpašums;9500;9560;0.0851;1;4
Ogres nov.;74010060803;Zemes nekustams īpašums;1000;11130;0.5136;1;83
Salaspils nov.;80110041036;Zemes nekustams īpašums;381;121;0.0031;1;1
Jelgavas nov.;54310020229;Zemes nekustams īpašums;2100;758;0.1716;1;1
Daugavpils;05000040603;Zemes un ēkas nekustams īpašums;650;3220;0.0754;21;100
Jūrmala;13000087606;Zemes un ēkas nekustams īpašums;113000;127540;0.08;1;4
Jūrmala;13000081802;Zemes nekustams īpašums;143154.7;260919;0.3644;341;5000
Ogres nov.;74800030238;Zemes nekustams īpašums;11000;2153;0.0541;1;1
Rīga;01001030309;Zemes nekustams īpašums;2800;5260;0.036;1;2
Jelgava;09000040010;Zemes nekustams īpašums;1000;1870;0.0146;1;2
Salaspils nov.;80310131156;Zemes nekustams īpašums;500;164;0.4256;2;17
Ķekavas nov.;80700180292;Zemes nekustams īpašums;4000;7120;0.059;1;2
Inčukalna nov.;80640020289;Zemes un ēkas nekustams īpašums;500;6501;0.0621;1;10
Olaines nov.;80800200133;Zemes un ēkas nekustams īpašums;5100;5105;0.0598;1;1
Garkalnes nov.;80600031203;Zemes nekustams īpašums;20000;320;0.1201;1;1
Ventspils ;27000270040;Zemes nekustams īpašums;2900;1815;0.058;1;1
Mārupes nov.;80760072244;Zemes nekustams īpašums;39000;10909;0.158;1;1
Saulkrastu nov.;80330011187;Zemes nekustams īpašums;1000;16564;0.2402;1;1
Garkalnes nov.;80600020384;Zemes un ēkas nekustams īpašums;3000;14195;0.0907;1;2
Rīga;01000712393;Zemes nekustams īpašums;500;216757;1.7308;355;79697
Mārupes nov.;80760072065;Zemes un ēkas nekustams īpašums;140000;82954;0.1564;1;2
Rīga;01001230116;Zemes nekustams īpašums;15100;487419;3.481;13025241;4561676450
Olaines nov.;80800090067;Zemes nekustams īpašums;148000;5527;0.2071;1;1
Rīga;01000360026;Zemes un ēkas nekustams īpašums;61000;906881;0.1381;267;26345
Salaspils nov.;80310131123;Zemes nekustams īpašums;2000;5055;0.1301;1;1
Rīga;01000642156;Zemes nekustams īpašums;850;63340;0.2271;211;15873
Ķekavas nov.;80070022108;Zemes nekustams īpašums;49500;88771;0.1233;1;1
Olaines nov.;80800150441;Zemes nekustams īpašums;4300;1861;0.0702;1;1
Aizkraukles nov.;32010041293;Zemes un ēkas nekustams īpašums;2000;2758;0.0645;1;1
Garkalnes nov.;80600020384;Zemes un ēkas nekustams īpašums;7000;14195;0.0907;1;2
Jelgava;09000110188;Zemes un ēkas nekustams īpašums;7500;2829;0.0629;1;1
Daugavpils;05000270213;Zemes un ēkas nekustams īpašums;20000;56509;0.1569;1;2
Rīga;01001170170;Zemes nekustams īpašums;100;114770;0.442;493;55553
Rīga;01000712139;Zemes un ēkas nekustams īpašums;1000;70791;0.15;11;500
Salaspils nov.;80310130603;Zemes un ēkas nekustams īpašums;16000;11475;0.1216;1;1
Daugavpils;05000370119;Zemes un ēkas nekustams īpašums;7000;13182;0.0603;1;1
Ogres nov.;74010060796;Zemes nekustams īpašums;200;119;0.1031;1;108
Daugavpils;05000094501;Zemes nekustams īpašums;410.73;8743;0.2625;352;8533
Saulkrastu nov.;80130020102;Zemes nekustams īpašums;33200;118739;0.7451;887;74510
Salaspils nov.;80310150669;Zemes un ēkas nekustams īpašums;7808;4516;0.122;1;1
Rīga;01001112072;Zemes nekustams īpašums;289;31175;0.1592;39;4207
Jelgava;09000130082;Zemes un ēkas nekustams īpašums;44500;13264;0.0575;1;1
Dundagas nov.;88500200401;Zemes nekustams īpašums;1400;1446;0.1718;1;1
Salaspils nov.;80310030065;Zemes un ēkas nekustams īpašums;9000;8331;0.0806;1;1
Salaspils nov.;80110041194;Zemes nekustams īpašums;743.85;54122;0.4225;667;52255
Ventspils nov.;98660081689;Zemes nekustams īpašums;1200;1100;0.0553;1;1
Daugavpils nov.;44600041217;Zemes un ēkas nekustams īpašums;1807;1807;0.0683;1;1
Ventspils nov.;98660081690;Zemes nekustams īpašums;1100;1087;0.0546;1;1
Daugavpils nov.;44920020347;Zemes nekustams īpašums;1210;136;0.0573;1;1
Rīga;01000802091;Zemes nekustams īpašums;5900;853132;2.2541;191;169185
Rīga;01000802316;Zemes nekustams īpašums;100;3064;0.5571;191;169185
Daugavpils;05000094301;Zemes nekustams īpašums;246.02;10286;0.308;277;15733
Ikšķiles nov.;74940150120;Zemes nekustams īpašums;1400;51;0.0813;1;1
Jelgava;09000020616;Zemes un ēkas nekustams īpašums;47500;39631;0.0536;1;2
Saulkrastu nov.;80130020199;Zemes nekustams īpašums;13000;20334;0.1276;1;4
Rīga;01000702385;Zemes nekustams īpašums;6500;273798;0.5668;639;129976
Rojas nov.;88820020175;Zemes un ēkas nekustams īpašums;57000;8351;0.2488;;
Salaspils nov.;80110041617;Zemes un ēkas nekustams īpašums;1400;765266;2.7846;194;120497
Rīga;01000600125;Zemes un ēkas nekustams īpašums;125000;3376900;1.1439;79;11439
Mārupes nov.;80760020016;Zemes nekustams īpašums;200000;332544;0.673;1;3
Daugavpils;05000093102;Zemes nekustams īpašums;183.02;7452;0.2209;350;14419
Daugavpils;05000090112;Zemes nekustams īpašums;81.91;2538;0.0716;65;2167
Saulkrastu nov.;80330040276;Zemes un ēkas nekustams īpašums;256.12;5594;0.0655;1;1
Jelgava;09000040088;Zemes nekustams īpašums;7500;20075;0.0607;1;2
Olaines nov.;80800210503;Zemes un ēkas nekustams īpašums;4800;4722;0.06;1;1
Rīga;01001172032;Zemes nekustams īpašums;200;43255;0.1483;769;198248
Rīga;01001172112;Zemes nekustams īpašums;200;41914;0.1437;769;198248
Liepāja;17000310015;Zemes un ēkas nekustams īpašums;48000;15774;0.0384;1;1
Jūrmala;13000090001;Zemes un ēkas nekustams īpašums;520000;272625;0.0964;1;1
Grobiņas nov.;64760020847;Zemes nekustams īpašums;1000;1733;0.0608;1;1
Grobiņas nov.;64600140164;Zemes un ēkas nekustams īpašums;6000;3226;0.058;1;1
Carnikavas nov.;80520081760;Zemes nekustams īpašums;18000;7686;0.1201;1;1
Jūrmala;13000147506;Zemes un ēkas nekustams īpašums;83000;66792;0.1546;1;1
Jelgava;09000020616;Zemes un ēkas nekustams īpašums;47500;39631;0.0536;1;2
Ķekavas nov.;80700181085;Zemes nekustams īpašums;10000;8311;0.068;1;1
Jūrmala;13000091601;Zemes un ēkas nekustams īpašums;200000;1345721;0.1487;1488;22951
Ogres nov.;74800030685;Zemes nekustams īpašums;4000;2428;0.061;1;1
Daugavpils nov.;44680060504;Zemes un ēkas nekustams īpašums;2200;1472;0.0413;1;1
Rīga;01000590223;Zemes un ēkas nekustams īpašums;131000;335203;0.2976;13;100
Jelgavas nov.;54900010135;Zemes nekustams īpašums;1900;2196;0.6476;1;1
Rīga;01001202446;Zemes un ēkas nekustams īpašums;3000;23381;0.1145;399;1528
Ķekavas nov.;80700081984;Zemes nekustams īpašums;2300;2613;0.1265;1;1
Daugavpils;05000021402;Zemes un ēkas nekustams īpašums;3600;53708;0.0618;1;2
Rīga;01000820968;Zemes nekustams īpašums;9750;2968;0.0596;1;1
Olaines nov.;80800201066;Zemes nekustams īpašums;1800;1761;0.0637;1;1
Cēsu nov.;42010071012;Zemes nekustams īpašums;14228;16507;0.4356;1;1
Mārupes nov.;80760072499;Zemes nekustams īpašums;51000;14379;0.1547;1;1
Salaspils nov.;80110041468;Zemes nekustams īpašums;4500;17708;0.1671;1;1
Rīga;01000450074;Zemes nekustams īpašums;16000;9627;0.041;1;1
Jūrmala;13000163716;Zemes nekustams īpašums;46800;49464;0.3207;9;10
Rīga;01000262036;Zemes un ēkas nekustams īpašums;4000;383149;0.4508;1;250
Jaunpiebalgas nov.;42980050084;Zemes un ēkas nekustams īpašums;75000;17732;19.6;1;1
Rīga;01001212654;Zemes nekustams īpašums;90000;96749;0.0568;9;10
Jūrmala;13000083509;Zemes un ēkas nekustams īpašums;115000;508137;0.1975;83;1975
Nīcas nov.;64780190221;Zemes nekustams īpašums;30000;367;0.9943;1;1
Jūrmala;13000160601;Zemes un ēkas nekustams īpašums;660000;836117;0.2045;734;6343
Jūrmala;13000101312;Zemes un ēkas nekustams īpašums;28210;2152841;0.2762;409;60378
Rucavas nov.;64840110158;Zemes nekustams īpašums;2099;4198;0.164;1;2
Ķekavas nov.;80700181440;Zemes nekustams īpašums;3900;1998;0.0701;1;1
Olaines nov.;80800080494;Zemes un ēkas nekustams īpašums;500;13982;0.0588;109;1897
Rīga;01001032038;Zemes nekustams īpašums;1;21833;0.1624;844;85279
Burtnieku nov.;96900010032;Zemes nekustams īpašums;1562;1562;0.1442;1;1
Salaspils nov.;80310130278;Zemes un ēkas nekustams īpašums;45000;8154;0.0819;1;1
Jūrmala;13000220112;Zemes nekustams īpašums;231.57;244182;37.7932;2139;1511728
Ādažu nov.;80440130400;Zemes nekustams īpašums;24000;60;0.0656;1;1
Pārgaujas nov.;42740070116;Zemes nekustams īpašums;154.6;958;0.084;1;1
Daugavpils;05000061035;Zemes nekustams īpašums;130;101;0.0043;1;1
Jūrmala;13000081604;Zemes un ēkas nekustams īpašums;20000;951048;0.3415;3021;134440
Salaspils nov.;80110041187;Zemes nekustams īpašums;597;16177;0.1594;432;17321
Olaines nov.;80800160741;Zemes nekustams īpašums;2500;1719;0.0603;1;1
Ventspils ;27000270073;Zemes nekustams īpašums;3385;3775;0.0677;1;1
Babītes nov.;80480010462;Zemes un ēkas nekustams īpašums;416500;114324;0.1465;1;1
Babītes nov.;80480010065;Zemes nekustams īpašums;600;2046;1.68;1;63
Carnikavas nov.;80520021635;Zemes un ēkas nekustams īpašums;1575.12;11533;0.1836;1;1
Jelgava;09000170191;Zemes un ēkas nekustams īpašums;86000;12786;0.0546;1;1
Limbažu nov.;66760070104;Zemes un ēkas nekustams īpašums;30000;15638;0.101;1;1
Rīga;01001282101;Zemes un ēkas nekustams īpašums;2500;90593;0.3537;49;2958
Salaspils nov.;80310130714;Zemes un ēkas nekustams īpašums;40000;22646;0.0574;1;1
Rīga;01000610228;Zemes nekustams īpašums;500;124541;0.7719;172;45035
Jūrmala;13000201007;Zemes nekustams īpašums;1350;68700;1.0246;180;72127
Daugavpils;05000041310;Zemes un ēkas nekustams īpašums;1350;2640;0.0644;1;2
Siguldas nov.;80420010042;Zemes un ēkas nekustams īpašums;2000;3222;0.064;1;1
Rīga;01000520030;Zemes nekustams īpašums;1000;137786;0.4706;845;54722
Rīga;01000600125;Zemes un ēkas nekustams īpašums;84800;3544795;1.1439;58;11439
Carnikavas nov.;80520020693;Zemes nekustams īpašums;11000;20031;0.097;1;2
Carnikavas nov.;80520081748;Zemes nekustams īpašums;17000;7686;0.1201;1;1
Ķekavas nov.;80700080740;Zemes un ēkas nekustams īpašums;150000;75658;0.12;1;1
Rīga;01000340078;Zemes un ēkas nekustams īpašums;40000;247776;0.1478;14;393
Salaspils nov.;80310131165;Zemes nekustams īpašums;250;6861;0.3895;1;23
Mārupes nov.;80760073103;Zemes nekustams īpašums;60000;21278;0.1657;1;1
Krāslavas nov.;60010021554;Zemes nekustams īpašums;3335;2208;0.1778;1;1
Talsu nov.;88010040061;Zemes nekustams īpašums;11000;10999;0.329;1;1
Rīga;01000320053;Zemes un ēkas nekustams īpašums;49000;1100361;0.1679;42;2563
Saulkrastu nov.;80330032661;Zemes un ēkas nekustams īpašums;13700;13763;0.075;1;1
Salaspils nov.;80110041194;Zemes nekustams īpašums;543;54122;0.4225;554;52255
Rīga;01000500046;Zemes un ēkas nekustams īpašums;380000;258164;0.1322;1;1
Daugavpils;05000091601;Zemes nekustams īpašums;213.51;12166;0.4221;108;8887
Daugavpils;05000153011;Zemes un ēkas nekustams īpašums;1400;2251;0.1256;7;20
Jūrmala;13000041502;Zemes nekustams īpašums;1500000;711430;0.5501;1;2
Babītes nov.;80480040886;Zemes un ēkas nekustams īpašums;245000;131101;0.1449;1;2
Ogres nov.;74010060803;Zemes nekustams īpašums;1000;11130;0.5136;1;83
Rīga;01000992354;Zemes nekustams īpašums;23983;334607;0.9407;143;10000
Pāvilostas nov.;64860150096;Zemes un ēkas nekustams īpašums;1000;988;0.06;1;2
Rīga;01001210574;Zemes nekustams īpašums;3000;5762;0.018;1;2
Smiltenes nov.;94700030345;Zemes un ēkas nekustams īpašums;377.21;12573;0.1378;1;1
Ventspils ;27000111842;Zemes nekustams īpašums;11000;10299;0.1206;1;1
Rucavas nov.;64840080194;Zemes nekustams īpašums;10000;320;1.81;1;1
Viļānu nov.;78170040101;Zemes nekustams īpašums;4700;155;0.2221;1;1
Daugavpils;05000301051;Zemes un ēkas nekustams īpašums;13500;7370;0.0674;1;1
Babītes nov.;80880010056;Zemes nekustams īpašums;3500;776;0.039;1;1
Ventspils nov.;98660241206;Zemes un ēkas nekustams īpašums;1500;2661;0.0618;1;1
Rīga;01000780354;Zemes nekustams īpašums;1000;111052;0.2945;115;13357
Carnikavas nov.;80520080505;Zemes un ēkas nekustams īpašums;35000;11755;0.063;1;1
Daugavpils;05000135309;Zemes un ēkas nekustams īpašums;8000;7810;0.1441;1;1
Salaspils nov.;80310090184;Zemes un ēkas nekustams īpašums;8000;97002;0.5939;227;19179
Rīga;01000150005;Zemes nekustams īpašums;100;71880;0.2105;4909;425661
Rucavas nov.;64520050166;Zemes nekustams īpašums;1600;356;0.0625;1;1
Daugavpils;05000154106;Zemes nekustams īpašums;1000;1172;0.0458;1;5
Rīga;01000330107;Zemes un ēkas nekustams īpašums;30000;342387;0.1562;238;781
Rīga;01000250135;Zemes un ēkas nekustams īpašums;17800;424883;0.052;33;1000
Rīga;01000300016;Zemes un ēkas nekustams īpašums;1690000;2625474;0.1505;3;5
Jūrmala;13000192405;Zemes nekustams īpašums;50000;36100;0.1165;1;1
Daugavpils;05000094201;Zemes nekustams īpašums;118.73;18678;0.701;202;38353
